Export plateforme Ads - Campagnes acquisition
Généré le 03/02/2026 par l'équipe Média
Date;Canal ;Dépenses (€);Clics;Conversions;
02/01/2026;Google Ads;1 250,40;3120;84;
02/01/2026;META;830,00;2045;41;
03/01/2026; google ads ;1 102,75;2890;77;
03/01/2026;Emailing;120,50;1510;;
03/01/2026;Emailing;120,50;1510;;
04/01/2026;Affiliation;;980;22;
05/01/2026;Meta;912,30;2210;47;
05/01/2026;SEO;0;4020;95;
06/01/2026;Google Ads;n/a;3005;80;
06/01/2026;Affiliation;450,00;1015;25;
07/01/2026;META;830,00;2045;41;
07/01/2026;Google Ads;1 310,00;3240;88;
07/01/2026;Google Ads;1 310,00;3240;88;
TOTAL;;7 236,45;30830;688;
